   (1,1)        7.875000000000000e+21
   (3,1)       -1.575000000000000e+07
   (4,1)       -7.875000000000000e+06
   (6,1)       -1.575000000000000e+07
   (2,2)        5.250000000000000e+23
   (5,2)       -5.250000000000000e+08
   (1,3)       -1.575000000000000e+07
   (3,3)        4.200000000000000e+22
   (4,3)        1.575000000000000e+07
   (6,3)        2.100000000000000e+07
   (1,4)       -7.875000000000000e+06
   (3,4)        1.575000000000000e+07
   (4,4)        7.078750000000000e+08
   (6,4)        1.575000000000000e+07
  (10,4)       -7.000000000000000e+08
   (2,5)       -5.250000000000000e+08
   (5,5)        5.436666666666666e+08
   (6,5)        2.800000000000000e+07
  (11,5)       -1.866666666666667e+07
  (12,5)        2.800000000000000e+07
   (1,6)       -1.575000000000000e+07
   (3,6)        2.100000000000000e+07
   (4,6)        1.575000000000000e+07
   (5,6)        2.800000000000000e+07
   (6,6)        9.800000000000000e+07
  (11,6)       -2.800000000000000e+07
  (12,6)        2.800000000000000e+07
   (7,7)        7.875000000000000e+21
   (9,7)       -1.575000000000000e+07
  (10,7)       -7.875000000000000e+06
  (12,7)       -1.575000000000000e+07
   (8,8)        5.250000000000000e+23
  (11,8)       -5.250000000000000e+08
   (7,9)       -1.575000000000000e+07
   (9,9)        4.200000000000000e+22
  (10,9)        1.575000000000000e+07
  (12,9)        2.100000000000000e+07
   (4,10)      -7.000000000000000e+08
   (7,10)      -7.875000000000000e+06
   (9,10)       1.575000000000000e+07
  (10,10)       2.107875000000000e+09
  (12,10)       1.575000000000000e+07
  (13,10)      -1.400000000000000e+09
   (5,11)      -1.866666666666667e+07
   (6,11)      -2.800000000000000e+07
   (8,11)      -5.250000000000000e+08
  (11,11)       6.930000000000000e+08
  (12,11)       8.400000000000000e+07
  (14,11)      -1.493333333333333e+08
  (15,11)       1.120000000000000e+08
   (5,12)       2.800000000000000e+07
   (6,12)       2.800000000000000e+07
   (7,12)      -1.575000000000000e+07
   (9,12)       2.100000000000000e+07
  (10,12)       1.575000000000000e+07
  (11,12)       8.400000000000000e+07
  (12,12)       2.100000000000000e+08
  (14,12)      -1.120000000000000e+08
  (15,12)       5.600000000000000e+07
  (10,13)      -1.400000000000000e+09
  (13,13)       2.800000000000000e+09
  (19,13)      -1.400000000000000e+09
  (11,14)      -1.493333333333333e+08
  (12,14)      -1.120000000000000e+08
  (14,14)       2.986666666666667e+08
  (20,14)      -1.493333333333333e+08
  (21,14)       1.120000000000000e+08
  (11,15)       1.120000000000000e+08
  (12,15)       5.600000000000000e+07
  (15,15)       2.240000000000000e+08
  (20,15)      -1.120000000000000e+08
  (21,15)       5.600000000000000e+07
  (16,16)       7.875000000000000e+21
  (18,16)      -1.575000000000000e+07
  (19,16)      -7.875000000000000e+06
  (21,16)      -1.575000000000000e+07
  (17,17)       5.250000000000000e+23
  (20,17)      -5.250000000000000e+08
  (16,18)      -1.575000000000000e+07
  (18,18)       4.200000000000000e+22
  (19,18)       1.575000000000000e+07
  (21,18)       2.100000000000000e+07
  (13,19)      -1.400000000000000e+09
  (16,19)      -7.875000000000000e+06
  (18,19)       1.575000000000000e+07
  (19,19)       1.407875000000000e+09
  (21,19)       1.575000000000000e+07
  (14,20)      -1.493333333333333e+08
  (15,20)      -1.120000000000000e+08
  (17,20)      -5.250000000000000e+08
  (20,20)       6.743333333333334e+08
  (21,20)      -1.120000000000000e+08
  (14,21)       1.120000000000000e+08
  (15,21)       5.600000000000000e+07
  (16,21)      -1.575000000000000e+07
  (18,21)       2.100000000000000e+07
  (19,21)       1.575000000000000e+07
  (20,21)      -1.120000000000000e+08
  (21,21)       1.540000000000000e+08
