   (1,1)       -4.101511584468892e+00
   (2,1)        8.832897279859592e+00
   (3,1)       -1.784423692900928e+01
   (4,1)        3.076133688351669e+00
   (1,2)        8.832897279859592e+00
   (2,2)       -6.534460046977235e+02
   (3,2)        2.886831641017456e+01
   (4,2)       -3.597350085967068e-01
   (5,2)       -1.525661214985063e+02
   (6,2)       -1.431538482165712e+01
   (7,2)       -8.620326592961534e+00
   (1,3)       -1.784423692900928e+01
   (2,3)        2.886831641017456e+01
   (3,3)       -6.982154610821299e+02
   (4,3)        1.190837410587709e-01
   (5,3)       -1.431538482165712e+01
   (6,3)       -1.299928257727685e+02
   (7,3)        1.777386926383818e+01
   (1,4)        3.076133688351669e+00
   (2,4)       -3.597350085967068e-01
   (3,4)        1.190837410587709e-01
   (4,4)       -8.154692075808793e+00
   (5,4)        8.620326592961534e+00
   (6,4)       -1.777386926383818e+01
   (7,4)        3.039885368504925e+00
   (2,5)       -1.525661214985063e+02
   (3,5)       -1.431538482165712e+01
   (4,5)        8.620326592961534e+00
   (5,5)       -6.504228294789048e+02
   (6,5)        2.839040833457535e+01
   (7,5)       -3.564169317315029e-01
   (8,5)       -1.522023965302363e+02
   (9,5)       -1.407502351291824e+01
  (10,5)       -8.409716587847468e+00
   (2,6)       -1.431538482165712e+01
   (3,6)       -1.299928257727685e+02
   (4,6)       -1.777386926383818e+01
   (5,6)        2.839040833457535e+01
   (6,6)       -6.959421174842553e+02
   (7,6)        1.171123683343238e-01
   (8,6)       -1.407502351291824e+01
   (9,6)       -1.292564042506235e+02
  (10,6)        1.770466650073154e+01
   (2,7)       -8.620326592961534e+00
   (3,7)        1.777386926383818e+01
   (4,7)        3.039885368504925e+00
   (5,7)       -3.564169317315029e-01
   (6,7)        1.171123683343238e-01
   (7,7)       -8.059201761486200e+00
   (8,7)        8.409716587847468e+00
   (9,7)       -1.770466650073154e+01
  (10,7)        3.004515952609725e+00
   (5,8)       -1.522023965302363e+02
   (6,8)       -1.407502351291824e+01
