   (1,1)       -4.457951382086952e+10
   (2,1)       -4.431007277229444e+10
   (3,1)        8.951529852988779e+10
   (4,1)       -2.228975691043476e+10
   (1,2)       -4.431007277229444e+10
   (2,2)       -1.567466980095281e+11
   (3,2)        2.173314743552106e+11
   (4,2)       -3.774631030211039e+08
   (5,2)        7.788150647009808e+10
   (6,2)       -1.086695015929140e+11
   (7,2)        4.393260966927334e+10
   (1,3)        8.951529852988779e+10
   (2,3)        2.173314743552106e+11
   (3,3)       -4.938342781397830e+11
   (4,3)       -1.067401819129253e+09
   (5,3)       -1.086695015929140e+11
   (6,3)        2.492376262241612e+11
   (7,3)       -9.058270034901704e+10
   (1,4)       -2.228975691043476e+10
   (2,4)       -3.774631030211039e+08
   (3,4)       -1.067401819129253e+09
   (4,4)       -8.933552023631522e+10
   (5,4)       -4.393260966927334e+10
   (6,4)        9.058270034901704e+10
   (7,4)       -2.237800320772284e+10
   (2,5)        7.788150647009808e+10
   (3,5)       -1.086695015929140e+11
   (4,5)       -4.393260966927334e+10
   (5,5)       -1.547426415573814e+11
   (6,5)        2.172714543938913e+11
   (7,5)       -3.993120790422302e+08
   (8,5)        7.686113508728331e+10
   (9,5)       -1.086019528009772e+11
  (10,5)        4.353329759023111e+10
   (2,6)       -1.086695015929140e+11
   (3,6)        2.492376262241612e+11
   (4,6)        9.058270034901704e+10
   (5,6)        2.172714543938913e+11
   (6,6)       -5.031485238383013e+11
   (7,6)       -1.066347209364414e+09
   (8,6)       -1.086019528009772e+11
   (9,6)        2.539108976141401e+11
  (10,6)       -9.164904755838145e+10
   (2,7)        4.393260966927334e+10
   (3,7)       -9.058270034901704e+10
   (4,7)       -2.237800320772284e+10
   (5,7)       -3.993120790422302e+08
   (6,7)       -1.066347209364414e+09
   (7,7)       -8.968695198094226e+10
   (8,7)       -4.353329759023111e+10
   (9,7)        9.164904755838145e+10
  (10,7)       -2.246547278274828e+10
   (5,8)        7.686113508728331e+10
   (6,8)       -1.086019528009772e+11
   (7,8)       -4.353329759023111e+10
   (8,8)       -1.526662094312891e+11
   (9,8)        2.170586859363294e+11
  (10,8)       -4.214697786368009e+08
  (11,8)        7.580507434400580e+10
  (12,8)       -1.084567331353522e+11
  (13,8)        4.311182781159431e+10
   (5,9)       -1.086019528009772e+11
   (6,9)        2.539108976141401e+11
   (7,9)        9.164904755838145e+10
   (8,9)        2.170586859363294e+11
   (9,9)       -5.125238773627924e+11
  (10,9)       -1.064560638595546e+09
  (11,9)       -1.084567331353522e+11
  (12,9)        2.586129797486523e+11
  (13,9)       -9.271360819697701e+10
   (5,10)       4.353329759023111e+10
   (6,10)      -9.164904755838145e+10
   (7,10)      -2.246547278274828e+10
   (8,10)      -4.214697786368009e+08
   (9,10)      -1.064560638595546e+09
  (10,10)      -9.003518881724376e+10
  (11,10)      -4.311182781159431e+10
  (12,10)       9.271360819697701e+10
  (13,10)      -2.255212162587359e+10
   (8,11)       7.580507434400580e+10
   (9,11)      -1.084567331353522e+11
  (10,11)      -4.311182781159431e+10
  (11,11)      -1.505195191608132e+11
  (12,11)       2.166880276838368e+11
  (13,11)      -4.439177295546185e+08
  (14,11)       7.471444481680739e+10
  (15,11)      -1.082312945484846e+11
  (16,11)       4.266791008203969e+10
   (8,12)      -1.084567331353522e+11
   (9,12)       2.586129797486523e+11
  (10,12)       9.271360819697701e+10
  (11,12)       2.166880276838368e+11
  (12,12)      -5.219531625755358e+11
  (13,12)      -1.062018356956403e+09
  (14,12)      -1.082312945484846e+11
  (15,12)       2.633401828268835e+11
  (16,12)      -9.377562655393340e+10
   (8,13)       4.311182781159431e+10
   (9,13)      -9.271360819697701e+10
  (10,13)      -2.255212162587359e+10
  (11,13)      -4.439177295546185e+08
  (12,13)      -1.062018356956403e+09
  (13,13)      -9.038005350825186e+10
  (14,13)      -4.266791008203969e+10
  (15,13)       9.377562655393340e+10
  (16,13)      -2.263790512825234e+10
  (11,14)       7.471444481680739e+10
  (12,14)      -1.082312945484846e+11
  (13,14)      -4.266791008203969e+10
  (14,14)      -1.483049377081848e+11
  (15,14)       2.161544386384963e+11
  (16,14)      -4.666360540371804e+08
  (17,14)       7.359049289137738e+10
  (18,14)      -1.079231440900117e+11
  (19,14)       4.220127402800251e+10
  (11,15)      -1.082312945484846e+11
  (12,15)       2.633401828268835e+11
  (13,15)       9.377562655393340e+10
  (14,15)       2.161544386384963e+11
  (15,15)      -5.314287959016021e+11
  (16,15)      -1.058697104498992e+09
  (17,15)      -1.079231440900117e+11
  (18,15)       2.680886130747186e+11
  (19,15)      -9.483432365843239e+10
  (11,16)       4.266791008203969e+10
  (12,16)      -9.377562655393340e+10
  (13,16)      -2.263790512825234e+10
  (14,16)      -4.666360540371804e+08
  (15,16)      -1.058697104498992e+09
  (16,16)      -9.072136649686220e+10
  (17,16)      -4.220127402800251e+10
  (18,16)       9.483432365843239e+10
  (19,16)      -2.272277812017876e+10
  (14,17)       7.359049289137738e+10
  (15,17)      -1.079231440900117e+11
  (16,17)      -4.220127402800251e+10
  (17,17)      -1.460250854047720e+11
  (18,17)       2.154529982482317e+11
  (19,17)      -4.896034575386652e+08
  (20,17)       7.243459251339462e+10
  (21,17)      -1.075298541582200e+11
  (22,17)       4.171167057046384e+10
  (14,18)      -1.079231440900117e+11
  (15,18)       2.680886130747186e+11
  (16,18)       9.483432365843239e+10
  (17,18)       2.154529982482317e+11
  (18,18)      -5.409427860596782e+11
  (19,18)      -1.054574204702832e+09
  (20,18)      -1.075298541582200e+11
  (21,18)       2.728541729849596e+11
  (22,18)      -9.588889786313522e+10
  (14,19)       4.220127402800251e+10
  (15,19)      -9.483432365843239e+10
  (16,19)      -2.272277812017876e+10
  (17,19)      -4.896034575386652e+08
  (18,19)      -1.054574204702832e+09
  (19,19)      -9.105894606487215e+10
  (20,19)      -4.171167057046384e+10
  (21,19)       9.588889786313522e+10
  (22,19)      -2.280669491225732e+10
  (17,20)       7.243459251339462e+10
  (18,20)      -1.075298541582200e+11
  (19,20)      -4.171167057046384e+10
  (20,20)      -1.436828389795906e+11
  (21,20)       2.145789272361100e+11
  (22,20)      -5.127972226567808e+08
  (23,20)       7.124824646619600e+10
  (24,20)      -1.070490730778900e+11
  (25,20)       4.119887334780706e+10
  (17,21)      -1.075298541582200e+11
  (18,21)       2.728541729849596e+11
  (19,21)       9.588889786313522e+10
  (20,21)       2.145789272361100e+11
  (21,21)      -5.504867353410297e+11
  (22,21)      -1.049627661116966e+09
  (23,21)      -1.070490730778900e+11
  (24,21)       2.776325623560701e+11
  (25,21)      -9.693852552425220e+10
  (17,22)       4.171167057046384e+10
  (18,22)      -9.588889786313522e+10
  (19,22)      -2.280669491225732e+10
  (20,22)      -5.127972226567808e+08
  (21,22)      -1.049627661116966e+09
  (22,22)      -9.139260850334279e+10
  (23,22)      -4.119887334780706e+10
  (24,22)       9.693852552425220e+10
  (25,22)      -2.288960933941408e+10
  (20,23)       7.124824646619600e+10
  (21,23)      -1.070490730778900e+11
  (22,23)      -4.119887334780706e+10
  (23,23)      -1.412813336036335e+11
  (24,23)       2.135276090462966e+11
  (25,23)      -5.361932086742605e+08
  (26,23)       7.003308713743752e+10
  (27,23)      -1.064785359684066e+11
  (28,23)       4.066268013913280e+10
  (20,24)      -1.070490730778900e+11
  (21,24)       2.776325623560701e+11
  (22,24)       9.693852552425220e+10
  (23,24)       2.135276090462966e+11
  (24,24)      -5.600518425326593e+11
  (25,24)      -1.043836256790833e+09
  (26,24)      -1.064785359684066e+11
  (27,24)       2.824192801765892e+11
  (28,24)      -9.798236178104303e+10
  (20,25)       4.119887334780706e+10
  (21,25)      -9.693852552425220e+10
  (22,25)      -2.288960933941408e+10
  (23,25)      -5.361932086742605e+08
  (24,25)      -1.043836256790833e+09
  (25,25)      -9.172216829434125e+10
  (26,25)      -4.066268013913280e+10
  (27,25)       9.798236178104303e+10
  (28,25)      -2.297147480775655e+10
  (23,26)       7.003308713743752e+10
  (24,26)      -1.064785359684066e+11
  (25,26)      -4.066268013913280e+10
  (26,26)      -1.388239638753166e+11
  (27,26)       2.122946118296984e+11
  (28,26)      -5.597658570928438e+08
  (29,26)       6.879087673787904e+10
  (30,26)      -1.058160758612918e+11
  (31,26)       4.010291428203996e+10
  (23,27)      -1.064785359684066e+11
  (24,27)       2.824192801765892e+11
  (25,27)       9.798236178104303e+10
